Cleaned_Tweet,Suicide
making lunch,Not Suicide post
alexia want money,Not Suicide post
dizzyhrvy crap took me forever put together iâm going go sleep days,Potential Suicide post 
jnaylor #kiwitweets hey jer since start twittering,Not Suicide post
trying quotdelicious library quot mixed results bar code thought i wanted add sport bra instead drill cool app tho,Not Suicide post
valenvaldez oh thats good hear already youll continue holy week,Not Suicide post
mcm uve got list fellow #hotties gonna share one amigo,Not Suicide post
jakepaul jamescharles loganpaul shane made series doesnt mean people take seriously yâ,Potential Suicide post 
time warsaw beer garden chilling,Not Suicide post
i hate my life lmao i hope i die soon sumn im tired everything,Potential Suicide post 
everything lover survival everything mother survival,Not Suicide post
stray cat campus looks like garfield students always feeding fat like me,Not Suicide post
go,Not Suicide post
i awful habit avoiding writing papers watching instagram live videos kids i used nanny forâ,Potential Suicide post 
rivensky haha well i i dont anything file rest away delete,Not Suicide post
turbizzle goooooood hwore,Not Suicide post
akwesiquanrt animeesay i want say ill never active quite sure i dont reason anymore anyways bye everyone tâ,Potential Suicide post 
focus opportunities focus money,Not Suicide post
somebody please fucking kill me im love,Potential Suicide post 
iâm point semester iâm tired everything i want roll die,Potential Suicide post 
sadegsigerrusengi want die much i dont want anymore,Potential Suicide post 
i hate fact true dojae surgery dojae endure pain alone without segye ðððð aâ,Potential Suicide post 
rt soulwhisperer youre tired living life close eyes go sleep,Potential Suicide post 
i going kill myself right i sorry feeling desperate,Potential Suicide post 
earlydetection enjoy i cant get season happy know youre getting groove,Not Suicide post
johnshopkins bloodstain carpet ready gooo,Not Suicide post
really fuckin want portion my life,Potential Suicide post 
im hungry dont anyone my timeline dare talk food ill seriously eat,Not Suicide post
mom always used want everyone home dark though anything night wasnt day,Not Suicide post
gailia i think youll whatever want,Not Suicide post
domselinakyle sounds terrible thats i my dad still lived w me i hope gets better forâ,Potential Suicide post 
garrybowie one shortly soap awards judging starts,Not Suicide post
swingie conversation tonimassaar dependent seem internet mobile phones nowadays,Not Suicide post
jrkgirlnla oh yes i reading one,Not Suicide post
my life miserable getting better,Potential Suicide post 
laprincipessa sau i stood offenbach home outside sunshine love,Not Suicide post
tired,Not Suicide post
rt tamicakeyona single mommy never part plan i wake everyday my shitðªð,Potential Suicide post 
bezos de blasio cuomo walked little lego town kicked lego towers aâ,Potential Suicide post 
i want money,Not Suicide post
heavenlyhev i know expect,Not Suicide post
mmm mummys culinary skills improving smells good im loving home cooked food,Not Suicide post
i need put myself rest i crashed my motorcycle today i know i mostly fine beautiful moment my life i know sick think felt good see people approach me help me crash feeling my body dragged my bike several meters ground looking sky one song played my earphonesi felt emptiness past yearsi want second chance i want get my broken bike bring speed one last time end i want drown anymore please,Potential Suicide post 
brushin mah teef secularly,Not Suicide post
ill london today wave see me,Not Suicide post
peoplemapsjulie i looking berocca well,Not Suicide post
nellypt thank i thought pass around great day luv ur stuff,Not Suicide post
i wanna die i donât deserve piece anything i donât belong anywhere iâm sick tired everything saâ,Potential Suicide post 
i fucking hate my whole family making me feel fat im done feeling bad my body andâ,Potential Suicide post 
meerajane i luv blog fashion lt,Not Suicide post
maddierawrk sorry loss post gave me goosebumps although i havenât thought suicide dâ,Potential Suicide post 
markuslarockus ha ha i started something rocquestar thing didnt i,Not Suicide post
photoboth black white wayyyyy old call herbert lol i love hes like living legend gotta love berlin lt,Not Suicide post
erikabele one looking,Not Suicide post
want kill,Not Suicide post
u understand fuck im wrong my life,Potential Suicide post 
rachelstarrxxx i really wish i could give ya serious tlc rachel hunsending ya huge hugz kisses,Not Suicide post
looking help testing prawn pdfs cucumber i find prawn cucumber salad recipes,Not Suicide post
joannabutler tell sister fixed,Not Suicide post
something weird i couldnt stop thinking couldnt sleep old papers card i diâ,Potential Suicide post 
congratulations john im creepy actor sweet actor,Not Suicide post
fancyelastic thanks,Not Suicide post
photoshop,Not Suicide post
mizfitonline normal workday me i still plansaspirations submit info miz mag honest i,Not Suicide post
noi easy way go mbk get hacked chuanjeng got cn rom th phone,Not Suicide post
farbelowaveragand i dont want fucking anymore please someone fucking end me i know itll worse everyone i myself fuck i want please please someone kill me please,Potential Suicide post 
im tired,Not Suicide post
my cullen family jewellery set arrived morning happy,Not Suicide post
getting ready take kids farm,Not Suicide post
wolfiecomedy boys might find shocking internet stranger like myself would say fuck guysâ,Potential Suicide post 
stacyonbob i ate candy cigarettes i didnt eat wax i drank coke i however eat candy lips,Not Suicide post
i damn near hate smoking myself sometimes i like cause i canât finish blunts i later,Potential Suicide post 
going get cereallllllll living lucky charms next week woopwoop,Not Suicide post
quottagged punk punk rock pop punk new york people listen band quot,Not Suicide post
dianapmarez great time life help design amazing wedding,Not Suicide post
vegale wow wow good hear,Not Suicide post
feeling overwhelmed wanting die i tried kill myself today i wanted my boyfriend help me somehow since sees me depression spiral says get better i know currently i feel trapped my home i friends i constantly feel weak unmotivated i desire sex my partner tend find worst lately i love things amplifies my depression i dont want die i get hurt lonely overwhelmed one thought i cant shake killing myself,Potential Suicide post 
asking everyone send happy headfirst vibes cosmicgirlie,Not Suicide post
kanter waiting sunrise spring amazing colors,Not Suicide post
ladytwitster good far thanks hope treat well,Not Suicide post
oliviacosmetics ok might though,Not Suicide post
itâs th i completed my selling goal iâm happy ð,Not Suicide post
emisonnaomily stilli highkey want dead f killed peach beck ughcandice back imma justâ,Potential Suicide post 
mikeyway take care guys,Not Suicide post
my whole family damn beautiful iâm start ugly generation i hate myself much i canât even express,Potential Suicide post 
my coworkers my guinea pigs lucky im testing recipes my ultimate cookie cook book,Not Suicide post
damn i hate myself evopvpserver,Potential Suicide post 
frankdielsi i want get indicted amp watch kids go jail i donât want die trumpâ,Potential Suicide post 
ok legit question i fucking kill myself im done life,Potential Suicide post 
willcarling hows ski jumping going beat missus yet,Not Suicide post
lakezuriche i hope i fucken change cause damn i hate myself,Potential Suicide post 
really good helpful various crisis dc universe i read,Not Suicide post
ericboehlert nothing live nasty,Potential Suicide post 
lovely night best boyfriend two good friends,Not Suicide post
my girlfriend left me i hate college i direction life i want go sleep never wake ive thinking suicide lot recently different methods reason i havent done far i much pussy i access enough drugs overdose i live near plenty tall buildings i seeing therapist psychiatrist pills given me exacerbated my symptoms i dont care leaving everything behind i dont want hurt people around me i go living my shit life others arent inconvenienced one days i drunk enough finally pull trigger figuratively literally,Potential Suicide post 
kateedwards dont bring anything yr place #katesparty,Not Suicide post
rosie âdoes think iâm gonna single foreverâ,Potential Suicide post 
codyks chickfila bonus,Not Suicide post
fred yeah kg around lbs glad liked interview i steve cotter quigong sucha valuable part training,Not Suicide post
theosoft want know modx cms maybe i help,Not Suicide post
im home school yay wasnt bad actually i nice dinner graceeeeee,Not Suicide post
im hoping my stress level go my aunt gone i cant relax exhausted cant focus damâ,Potential Suicide post 
ghostbusterz friend i knew online last night finally added me messenger,Not Suicide post
i jst sneezed twice me thinks theres least one ghost my house,Not Suicide post
wanicullen thanks wani,Not Suicide post
vanessawhite haha get stress x,Not Suicide post
nanu added little grist mill,Not Suicide post
nikidyer marcorubio want every vote counted matter voter dead move different precinct ouâ,Potential Suicide post 
yogadork barefoot range great alternative need wear shoes allow foot move though barefoot,Not Suicide post
perks ugly i deserve award something least iâm gonna die alone,Potential Suicide post 
rt camphalfblood random commenter asked i extreme social warrior agenda magnus chase calls extreme social jusâ,Potential Suicide post 
tuesdayat workstill riding high workout last night good day,Not Suicide post
sad i cant protect cats i dont know whats ever bothering i dont know stuff hasâ,Potential Suicide post 
never war i get terrible nightmares wake me fighting my life #thisisus #ptsd,Potential Suicide post 
cool,Not Suicide post
ok dinner rocked,Not Suicide post
stuck every time i try kill myself i cant go i cant keep living feeling way cant i let myself die,Potential Suicide post 
damn i hate i type fast autocorrect changes go unnoticed smh myself ððââï,Potential Suicide post 
rt sirpatricia shes best,Not Suicide post
bobbybobbles snovvvhite live best life,Not Suicide post
i want truth,Not Suicide post
sandieb fussy age long females i changed rules lol,Not Suicide post
iâm gonna go ahead kill myself already done fucking day,Potential Suicide post 
i cannot wait my mum fucking die i wait die i going lie train day foolow suiti cannot wait i would kill able kill myself sooner two intimate relationship short i kill guns forbiden my country i got knife brick i cant bloody slow method cannot anything my tonsils stink i hate human stench forms except dashas shits i hate my body hate arteries nose lips saliva eyes i hate human body except dashas one i want fuck my dasha,Potential Suicide post 
taniauncensored tania i think get athene rest crew twitter,Not Suicide post
jackhii n i got yr pic posing server room,Not Suicide post
bye bye going sleep finally xdddd p,Not Suicide post
working film busy nice day everyone,Not Suicide post
i want die i go commit suicide give me injection i unconconscious end my nightmare life i want die,Potential Suicide post 
i want play,Not Suicide post
thanks everyone whos sent me work year youll pleased know ive planted trees india profits x,Not Suicide post
my notice me giving life n becoming alcoholic bc im miserable n want die farewell ill drunk,Potential Suicide post 
new iphone completely updated sun shining derry tis pretty day,Not Suicide post
i want doctor,Not Suicide post
tomfelton cash attic ok i prefer homes hammer haha i love school,Not Suicide post
ill ride my dawgs day end day i already know streets take amp i hapâ,Potential Suicide post 
i want,Not Suicide post
foxwhisperer well compared areas west us ill take degrees run,Not Suicide post
inspireinspire aw i jealous please take me,Not Suicide post
olsenblaine mni dont want anymore,Potential Suicide post 
scared death tired living,Potential Suicide post 
tmotsenbocker theacademic judahandthelion take back fun,Not Suicide post
ive enough life pain causes,Potential Suicide post 
omg cringe i cant,Potential Suicide post 
lilyroseallen i love shh tattoo hurt i think im gonna get,Not Suicide post
cgupirt caringcorbyn i literally cant explain everything much happened i dont wanna anymore wtf even point i literallyâ,Potential Suicide post 
i want,Not Suicide post
juice box morning never know joy juice box bring one later life,Not Suicide post
didnt want go women,Not Suicide post
adalinemusic youre welcome great way introduced music,Not Suicide post
cookieex awesome cant wait see,Not Suicide post
my heart crushed,Potential Suicide post 
ooo apple store close credit card ready,Not Suicide post
youâve changed fucking worse i cant believe could really go back ur hard work like,Potential Suicide post 
house never black woman leadership becauseâ,Not Suicide post
summerwalker hey golden me wanted say hi great morning,Not Suicide post
goooooood morning twitterworld,Not Suicide post
emilylagrange revolution household detergent introducing #kidscleaning get one stocks last,Not Suicide post
everything youâve ever dreamed,Potential Suicide post 
taylorchoi congrats ill def go support tc media takeover,Not Suicide post
going bed goodnightttttt,Not Suicide post
going school enjoying my last day year old,Not Suicide post
pviktor hmmmnot goodcarrot juice marmalade toast may help,Not Suicide post
im tired sick everything i wanna die,Potential Suicide post 
rt marvelstudios âno one impact my career everything marvel studios stan lee stan leaves extrâ,Not Suicide post
